"region","subregion","chl_mean","sst_mean","fwd_mean","poc_mean","dist_S","wf_log","rugosity","easting","northing","lat","long","site","complx_3m","ext_m_tetra","ext_m_brachi","ext_m_chth","incl_graus_franja","incl_graus_tetra","incl_graus_brachi","incl_graus_chth","extensao","inclinacao","mean_exp","sst_mean.1","sst_CV","distCentro","pop_2010","pop_est_2017","cresc_anual","densidade_km2","distance_S"
"SW-NE","Ubatuba",3.456,25.27,0.8,460.552,176.75,2.850672,1.271,477032.249570896,7395424.68411581,-23.55136,-45.22504,"Maranduba",1.27060982495765,1.1,1.38,1.9,15,30,28,29.6,1.46,25.65,1607.38704577359,25.2697651090625,10.3821765686889,121.614516023111,78801,88313,1.53868302838443,108.87,176.75079
"SW-NE","Ubatuba",4.057,26.17,0.747,502.512,183.67,2.940125,1.318,482355.901014818,7400392.88158966,-23.50655,-45.17282,"Bravinha",1.31831906016689,0.716,1.54,2.54,9.6,23.6,55.4,30.6,1.59866666666667,29.8,1694.35275690606,26.1704538968182,10.7803451299816,128.466609759636,78801,88313,1.53868302838443,108.87,183.669796
"SW-NE","Ubatuba",3.609,25.924,0.669,476.418,189.75,2.427247,1.369,488539.969998129,7401509.40871203,-23.49652,-45.11224,"Lamberto",1.36946155762745,0.732,0.996,1.458,59,65.2,57.4,50.2,1.062,57.95,794.341431753976,25.9239418323077,11.0350863745135,134.587406113905,78801,88313,1.53868302838443,108.87,189.751423
"SW-NE","Ubatuba",2.114,25.484,0.673,374.371,192.17,2.94718,1.034,491415.47511152,7401023.1555529,-23.50093,-45.08408,"Enseada (Ubatuba)",2.98146339875663,0.424,0.706,0.948,67,73.4,73.8,71,0.692666666666666,71.3,3111.92192371075,25.4844112394118,10.7697143453776,137.051297472504,78801,88313,1.53868302838443,108.87,192.16973
"SW-NE","Ubatuba",2.172,24.905,0.676,383.879,195.99,3.61215,1.076,493899.01989123,7404772.92373239,-23.46707,-45.05974,"Grande (Ubatuba)",1.07642918324983,1.734,3.006,4.588,23.6,13.8,16.4,20.4,3.10933333333333,18.55,6014.21057739258,24.9045903289091,10.0731002439736,140.802706089579,78801,88313,1.53868302838443,108.87,195.98724
"SW-NE","Ubatuba",5.68,25.804,0.748,538.848,197.3,3.504823,1.262,493486.734717146,7408702.81349276,-23.43157,-45.06376,"Matarazzo",1.10047875835226,0.91,3.342,4.22,17,42,17.4,18.8,2.824,23.8,3277.18037062425,25.8037494820833,11.5844062694107,142.040688914038,32010,34551,1.05062082139446,101.59,197.302227
"SW-NE","Ubatuba",3.166,25.618,0.743,445.863,198.2,3.25785,1.541,495451.762627341,7406670.99067172,-23.44993,-45.04453,"Itaguá",1.54144704222129,0.234,0.384,0.756,54.6,61.4,58.4,50.2,0.458,56.15,2880.08792433628,25.61771371,10.608021466186,142.98835536968,78801,88313,1.53868302838443,108.87,198.1981
"SW-NE","Ubatuba",2.153,25.028,0.648,389.602,207.72,3.768971,1.461,502953.088354905,7413052.47120417,-23.39229,-44.9711,"Félix",1.46082517472287,3.228,NA,5.298,NA,14,NA,25,4.263,19.5,6955.70292394301,25.027904742973,11.1073414400404,152.462543998654,78801,88313,1.53868302838443,108.87,207.721753
"SW-NE","Ubatuba",6.764,24.722,0.619,652.212,215.92,3.331238,1.176,509111.293550965,7419082.26632066,-23.3378,-44.91087,"Justa",1.17599814656616,0.922,2.334,3.082,44,40.6,22.2,39.2,2.11266666666667,36.5,2575.54079127956,24.7215903445455,9.99967008851088,160.619723162257,78801,88313,1.53868302838443,108.87,215.915668
"SW-NE","Ubatuba",3.641,25.162,0.615,556.464,216.85,2.59735,1.168,511310.39550266,7416730.48433639,-23.35903,-44.88934,"Almada",1.16766578249337,4.26,NA,6.16,9.8,30.4,NA,38.6,5.035,27.6833333333333,997.189996846517,25.1622852045714,11.1980315773822,161.595077200283,78801,88313,1.53868302838443,108.87,216.85013
"SW-NE","Ubatuba",2.603,24.98,0.515,488.145,220.74,3.074111,1.328,516429.142197939,7415010.85234412,-23.37452,-44.83924,"Picinguaba",1.32767515936391,3.37,NA,7.48,22.6,14.8,NA,22.6,5.425,20,1567.35826044497,24.9804279594286,11.2450626162426,165.556785246521,32010,34551,1.05062082139446,101.59,220.743634
"SW-NE","Ubatuba",1.669,25.452,0.522,391.16,232.35,3.5907,1.103,528183.194385148,7417252.00884056,-23.3541153333333,-44.7242686666667,"Meio",1.10330896284243,4.32,NA,8.28,10.8,12.8,NA,3.2,6.058,8.91666666666667,5797.62973632812,25.4524318843243,11.7530372969022,166.458343489492,37533,41454,1.35123958397949,40.57,232.354345
