"site","replica","cover","subregion","region","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","inclinacao","easting","northing","distance_S","str_size","str_ab"
"Bravinha",8,0.36,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17
"Bravinha",9,0.06,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17
"Bravinha",10,0.09,"Ubatuba","SW-NE",4.057,26.17,0.747,2.940125,1.318,29.8,482355.901014818,7400392.88158966,183.669796,25.6928571428571,17
"Canto do Itaguaí",1,0.95,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26
"Canto do Itaguaí",2,0.96,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26
"Canto do Itaguaí",3,0.83,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26
"Canto do Itaguaí",4,0.98,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26
"Canto do Itaguaí",5,0.97,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26
"Canto do Itaguaí",6,0.89,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26
"Canto do Itaguaí",7,0.95,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26
"Canto do Itaguaí",8,0.89,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26
"Canto do Itaguaí",9,0.94,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26
"Canto do Itaguaí",10,0.89,"MRBS","SW-NE",4.564,25.836,0.72,3.918769,1.146,24.3,410788.461490118,7371875.99822682,106.839389,26.4811764705882,26
"Cibratel",1,0.93,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4
"Cibratel",2,0.79,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4
"Cibratel",3,0.81,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4
"Cibratel",4,0.76,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4
"Cibratel",5,0.64,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4
"Cibratel",6,0.55,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4
"Cibratel",7,0.87,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4
"Cibratel",8,0.95,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4
"Cibratel",9,0.75,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4
"Cibratel",10,0.57,"MRBS","SW-NE",7.127,25.259,0.977,4.079989,1.257,48.8,316145.026398974,7322342.06316073,0,27.2019230769231,4
"Cigarras",1,0,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9
"Cigarras",2,0,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9
"Cigarras",3,0,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9
"Cigarras",4,0,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9
"Cigarras",5,0,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9
"Cigarras",6,0,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9
"Cigarras",7,0,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9
"Cigarras",8,0,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9
"Cigarras",9,0,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9
"Cigarras",10,0,"SSCh","SW-NE",4.541,25.453,0.815,3.317324,1.41,44,459437.552488032,7375777.28612367,152.965565,33.33,9
"Clubmed",1,0.08,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29
"Clubmed",2,0.13,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29
"Clubmed",3,0.79,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29
"Clubmed",4,0.64,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29
"Clubmed",5,0.02,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29
"Clubmed",6,0,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29
"Clubmed",7,0.05,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29
"Clubmed",8,0,"SCRJ","W-E",7.681,25.239,0.681,3.471664,1.233,56.0666666666667,592656.557871488,7456412.68559467,307.391311,30.0344444444444,29
