"site","replicate","vivos_n","subregion","region","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","inclinacao","easting","northing","distance_S","str_size","str_ab","incl_graus_tetra"
"Conchas",2,24,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",3,29,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",4,14,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",5,28,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",6,68,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",7,72,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",8,51,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",9,48,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",10,45,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",11,101,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",12,65,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",13,93,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",14,55,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Conchas",15,50,"LRRJ","W-E",2.968,23.164,0.658,3.933147,1.44,29.95,809834.09627174,7467893.51121468,514.749644,31.3214814814815,14,28
"Coqueiro",1,12,"SCRJ","W-E",6.348,26.081,0.52,3.70529,1.082,11.45,545783.691782831,7452294.54211676,263.934698,20.4419565217391,22,19.6
"Coqueiro",2,27,"SCRJ","W-E",6.348,26.081,0.52,3.70529,1.082,11.45,545783.691782831,7452294.54211676,263.934698,20.4419565217391,22,19.6
"Coqueiro",3,23,"SCRJ","W-E",6.348,26.081,0.52,3.70529,1.082,11.45,545783.691782831,7452294.54211676,263.934698,20.4419565217391,22,19.6
