site	city	subregion	region	distance_km	lat	long	easting	northing	abund	chl_mean	sst_mean	fwd_mean	wf_log	wf_km	inclinacao	rugosity	Tetr_size	Tetr_density	Brach_cover	Brach_size	Pp_ok	perna_cover	pp_cat
Tarituba	Paraty/RJ	N1	north	259.91	-23.046560	-44.592530	541744.057481396	7451267.93264797	0	5.755	26.125	0.630	2.124	27.171	19.667	1.055	3.814	5.533	0.000	NA	0	0.000	absent
Itaipu	Niterói/RJ	N2	north	407.39	-22.973879	-43.047480	700162.836817555	7458040.284628420	20	8.427	24.002	0.989	3.329	487.564	14.600	1.056	4.325	63.933	67.200	13.393	1	65.333	abundant
P. Vila	Saquarema/RJ	N2	north	462.34	-22.937400	-42.493530	757042.645702747	7461217.899245970	54	4.884	24.051	0.709	4.141	2778.843	22.700	1.142	4.570	63.800	22.000	11.392	1	47.332	abundant
Piratininga	Niterói/RJ	N2	north	405.65	-22.957410	-43.072210	697650.916073022	7459897.642177780	46	12.596	23.964	0.988	4.040	2212.518	15.250	1.047	3.090	55.667	28.000	10.867	1	49.333	abundant
Pta Negra	Maricá/RJ	N2	north	442.01	-22.958310	-42.695150	736321.673835296	7459240.541290380	62	6.882	24.170	0.609	4.037	2215.785	18.250	1.183	3.835	55.200	35.700	9.005	1	75.000	abundant
Enseada (Guarujá)	Guarujá/SP	S1	south	61.63	-23.994180	-46.247490	373103.989246484	7345856.001754460	22	6.934	25.436	0.922	3.911	1643.619	12.400	1.044	2.719	19.467	91.000	8.411	1	7.084	low
Leblon	Rio de Janeiro/RJ	N2	north	389.52	-22.989850	-43.227080	681725.422972126	7456505.480816940	16	5.541	24.408	0.606	4.061	2328.310	22.200	1.085	3.966	19.333	51.000	10.846	1	7.333	low
Matarazzo	Ubatuba/SP	S3	south	197.30	-23.431570	-45.063760	493486.734717146	7408702.813492760	50	5.680	25.804	0.748	3.505	676.358	23.800	1.262	3.509	0.667	94.000	8.621	1	6.296	low
P. Sonho	Itanhaém/SP	S1	south	1.05	-24.196300	-46.801170	317059.875562896	7322861.221364400	41	9.866	25.275	0.994	4.074	2398.986	19.100	1.173	4.564	13.800	90.300	6.909	1	4.999	low
P. Vermelha	Rio de Janeiro/RJ	N2	north	397.05	-22.953980	-43.163310	688313.141341145	7460397.231328720	29	8.440	23.979	0.958	3.119	336.172	29.650	1.363	4.498	20.933	33.800	10.865	1	12.500	low
Prainha (Arr. Cabo)	Arraial do Cabo/RJ	N3	north	507.67	-22.954340	-42.024130	805170.309411840	7458442.111923620	23	1.606	23.041	0.569	3.420	560.613	13.933	1.156	5.100	21.000	48.500	11.466	1	2.333	low
Pta Cabeça	Arraial do Cabo/RJ	N3	north	505.90	-22.976790	-42.034920	804012.846755643	7455976.989446430	40	2.685	23.091	0.568	3.823	1376.325	16.667	1.202	5.603	40.933	42.500	10.664	1	14.334	low
São Pedro	Guarujá/SP	S1	south	73.78	-23.906880	-46.159350	381991.126156692	7355599.194973060	19	5.287	25.183	0.883	3.737	1207.788	33.300	1.402	4.182	22.667	71.600	9.163	1	5.000	low
Arpoador	Rio de Janeiro/RJ	N2	north	392.91	-22.990500	-43.191500	685372.347068603	7456388.958435990	34	5.985	24.305	0.675	4.141	2777.110	33.650	1.245	3.097	25.133	82.900	9.564	1	0.000	rare
Atalaia	Arraial do Cabo/RJ	N3	north	508.05	-22.986340	-42.009960	806552.061675709	7454866.805227920	31	2.671	23.130	0.566	3.332	444.664	28.000	1.167	4.765	24.200	10.800	7.867	1	0.000	rare
Bravinha	Ubatuba/SP	S3	south	183.67	-23.506550	-45.172820	482355.901014818	7400392.881589660	14	4.057	26.170	0.747	2.940	247.988	29.800	1.318	4.283	24.133	39.200	8.225	1	0.000	rare
C. Itaguá	Bertioga/SP	S1	south	106.84	-23.761750	-45.875480	410788.461490118	7371875.998226820	17	4.564	25.836	0.720	3.919	1693.179	24.300	1.146	4.903	3.133	93.000	8.587	1	0.000	rare
Cibratel	Itanhaém/SP	S1	south	0.00	-24.200880	-46.810240	316145.026398974	7322342.063160730	26	7.127	25.259	0.977	4.080	2415.394	48.800	1.257	4.300	28.600	76.200	9.133	1	1.000	rare
Clubmed	Mangaratiba/RJ	N1	north	307.39	-22.998030	-44.095910	592656.557871488	7456412.685594670	9	7.681	25.239	0.681	3.472	617.872	56.067	1.233	4.853	10.800	17.000	8.647	1	0.000	rare
Ferradura	Búzios/RJ	N3	north	527.54	-22.771220	-41.883630	820017.319985661	7478434.954225240	20	2.219	23.236	0.700	3.581	1000.023	34.750	1.242	4.986	15.533	33.000	10.629	1	0.000	rare
Grumari	Rio de Janeiro/RJ	N2	north	361.31	-23.040750	-43.500890	653597.166033563	7451182.642912270	30	4.660	24.688	0.534	4.045	2222.265	23.800	1.235	5.460	52.067	61.100	11.153	1	0.666	rare
Guaiúba	Guarujá/SP	S1	south	56.15	-24.015950	-46.296030	368188.079039868	7343400.763937100	7	12.219	25.538	1.031	3.739	1103.593	31.250	1.250	3.710	23.733	80.500	8.877	1	0.557	rare
Joatinga	Rio de Janeiro/RJ	N2	north	382.57	-23.014750	-43.289400	675304.053265852	7453824.080779120	14	4.172	24.369	0.552	4.044	2242.583	33.600	1.129	4.142	32.133	70.000	9.680	1	0.667	rare
P. Branca	Guarujá/SP	S1	south	77.52	-23.872270	-46.137430	384191.723618774	7359449.586653790	35	5.304	25.231	0.849	3.997	1995.977	25.100	1.179	4.761	22.067	84.400	9.436	1	0.000	rare
P. Conchas	Cabo Frio/RJ	N3	north	514.75	-22.868220	-41.980590	809834.096271740	7467893.511214680	30	2.968	23.164	0.658	3.933	1779.254	29.950	1.440	4.741	50.733	41.000	9.372	1	0.666	rare
P. Coqueiros	Paraty/RJ	N1	north	263.93	-23.037180	-44.553130	545783.691782831	7452294.542116760	47	6.348	26.081	0.520	3.705	1018.422	11.450	1.082	5.612	25.933	65.000	8.576	1	0.000	rare
P. Forno (Arr. Cabo)	Arraial do Cabo/RJ	N3	north	508.11	-22.968720	-42.014950	806079.884331694	7456829.616034130	2	2.211	23.091	0.555	3.038	388.763	16.900	1.277	4.935	38.600	74.000	9.336	1	0.000	rare
P. Forte	Cabo Frio/RJ	N3	north	511.50	-22.885780	-42.007820	806998.581462347	7466004.845973390	49	2.517	23.080	0.573	3.403	647.139	27.550	1.122	4.136	103.467	31.500	9.528	1	0.000	rare
P. Grande (Ubatuba)	Ubatuba/SP	S3	south	195.99	-23.467070	-45.059740	493899.019891230	7404772.923732390	19	2.172	24.905	0.676	3.612	927.255	18.550	1.076	4.607	19.533	56.900	9.012	1	0.333	rare
P. Pernambuco	Guarujá/SP	S1	south	68.43	-23.974020	-46.184250	379518.705527960	7348143.836383640	13	5.843	24.923	0.839	3.902	1672.979	25.200	1.280	3.522	20.867	63.400	9.561	1	0.370	rare
P. Preta	Guarujá/SP	S1	south	77.23	-23.874190	-46.139480	383984.694110955	7359235.312207120	27	7.720	25.084	0.856	3.949	1822.327	20.400	1.161	3.654	17.267	88.900	9.792	1	0.370	rare
R. S. Lourenço	Bertioga/SP	S1	south	89.24	-23.820665	-46.036889	394387.363191675	7365242.121005510	94	7.330	25.588	0.882	3.913	1666.357	31.200	1.248	4.948	18.733	62.000	10.316	1	0.000	rare
