"site","tamanho_mm","region","subregion","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","ndvi","easting","northing","ext","ext_m_chth","incl_graus_chth","inclinacao","distance_S","ndvi_sup_diff"
"Almada",6.503,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",5.823,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",2.64,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.356,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.409,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.427,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.16,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.543,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.297,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.507,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.719,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.423,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
