"lat","lon","region","site","height","fase","sample","mean","sd","var","median","min","max","Q1","Q3","unique_id","diff","cv"
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",14,0.4642,0.0177,0,0.4769,-0.0061,1,0.3333,0.6102,"pta_cabeca_inferior_14",0.00650000000000001,0.0381301163291685
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Inferior","Antes",15,0.3795,0.0195,0,0.3864,-0.8824,1,0.2308,0.5264,"pta_cabeca_inferior_15",-0.0329,0.0513833992094862
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",1,0.4698,0.0205,0,0.4737,-0.0148,1,0.301,0.6172,"pta_cabeca_superior_1",0.0682,0.0436355896126011
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",2,0.6173,0.0115,0,0.6407,-0.0043,1,0.5,0.7497,"pta_cabeca_superior_2",0.0941,0.0186295156325936
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",3,0.5593,0.0149,0,0.5662,-0.0789,1,0.4312,0.6889,"pta_cabeca_superior_3",0.1251,0.0266404434114071
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",4,0.568,0.0155,0,0.5798,-0.0202,1,0.4391,0.6871,"pta_cabeca_superior_4",0.1981,0.0272887323943662
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",5,0.5857,0.0115,0,0.604,-0.0212,1,0.4706,0.7073,"pta_cabeca_superior_5",0.1146,0.0196346252347618
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",6,0.6039,0.0135,0,0.6168,-0.006,1,0.489,0.7206,"pta_cabeca_superior_6",0.1394,0.022354694485842
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",7,0.4538,0.0116,0,0.4497,-0.1463,1,0.2903,0.6207,"pta_cabeca_superior_7",0.0904,0.0255619215513442
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",8,0.4998,0.0149,0,0.5125,-0.0323,1,0.3649,0.6445,"pta_cabeca_superior_8",0.0802,0.029811924769908
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",9,0.5472,0.0121,0,0.5593,-0.0602,1,0.423,0.6719,"pta_cabeca_superior_9",0.1719,0.0221125730994152
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",10,0.5338,0.0142,0,0.5487,-0.0253,1,0.4139,0.6545,"pta_cabeca_superior_10",0.1006,0.0266017234919445
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",11,0.5096,0.0116,0,0.5208,-0.0439,1,0.3903,0.6308,"pta_cabeca_superior_11",0.0364,0.0227629513343799
